commonName,scientificName,audioFile,spectrogramFile,xenoCantoId,recordist,rejected,difficulty,quality,country,loc
European Starling,Sturnus vulgaris,/quiz/audio/european-starling.mp3,/quiz/spectrograms/european-starling.png,636461,Thomas Ryder Payne,,easy,3,Canada,"Toronto, Toronto Division, Ontario"
Red-bellied Woodpecker,Melanerpes carolinus,/quiz/audio/red-bellied-woodpecker.mp3,/quiz/spectrograms/red-bellied-woodpecker.png,568575,Meena Haribal,,easy,2,United States,"Caroline (near  Brooktondale), Tompkins County, New York"
Yellow-rumped Warbler,Setophaga coronata,/quiz/audio/yellow-rumped-warbler.mp3,/quiz/spectrograms/yellow-rumped-warbler.png,701682,William Whitehead,true,medium,,United States,Sandy Hook, Monmouth Co., NJ
Gray Catbird,Dumetella carolinensis,/quiz/audio/gray-catbird.mp3,/quiz/spectrograms/gray-catbird.png,190458,Krzysztof Deoniziak,,medium,2,United States,"Jamaica Bay Wildlife Refuge, New York City"
Tufted Titmouse,Baeolophus bicolor,/quiz/audio/tufted-titmouse.mp3,/quiz/spectrograms/tufted-titmouse.png,1035994,Rory Nefdt,true,medium,,United States,"Hart’s Brook Park and Preserve (near  Hartsdale), Westchester County, New York"
Double-crested Cormorant,Nannopterum auritum,/quiz/audio/double-crested-cormorant.mp3,/quiz/spectrograms/double-crested-cormorant.png,780994,Paul Driver,,medium,2,United States,"Heislerville, NJ"
Baltimore Oriole,Icterus galbula,/quiz/audio/baltimore-oriole.mp3,/quiz/spectrograms/baltimore-oriole.png,552079,William Whitehead,true,medium,,United States,"Hawk Rise Sanctuary (near  Linden), Union County, New Jersey"
Scarlet Tanager,Piranga olivacea,/quiz/audio/scarlet-tanager.mp3,/quiz/spectrograms/scarlet-tanager.png,101628,Daniel Lane,true,medium,,United States,"Wildcat Mountain WMA, Morris Co, NJ"
Canada Goose,Branta canadensis,/quiz/audio/canada-goose.mp3,/quiz/spectrograms/canada-goose.png,637975,Regina Eidner,,easy,2,Germany,"Rathaus Köpenick (Berlin) (near  Berlin), Berlin"
Northern Yellow Warbler,Setophaga aestiva,/quiz/audio/northern-yellow-warbler.mp3,/quiz/spectrograms/northern-yellow-warbler.png,394040,Dominic Garcia-Hall,,easy,3,United States,Kearny, Hudson County, New Jersey
Swamp Sparrow,Melospiza georgiana,/quiz/audio/swamp-sparrow.mp3,/quiz/spectrograms/swamp-sparrow.png,729070,William Whitehead,,medium,2,United States,"Great SWamp NWR, Morris County, New Jersey"
Black-throated Blue Warbler,Setophaga caerulescens,/quiz/audio/black-throated-blue-warbler.mp3,/quiz/spectrograms/black-throated-blue-warbler.png,101928,Daniel Lane,,medium,2,United States,"Millbrook Rd at Appalachian Trail, Delaware Water Gap area, Warren Co., NJ"
Yellow-rumped Warbler,Setophaga coronata,/quiz/audio/yellow-rumped-warbler.mp3,/quiz/spectrograms/yellow-rumped-warbler.png,469599,Rolf A. de By,,medium,2,United States,"Great SWamp NWR, Morris County, New Jersey"
Tufted Titmouse,Baeolophus bicolor,/quiz/audio/tufted-titmouse.mp3,/quiz/spectrograms/tufted-titmouse.png,706242,William Whitehead,true,medium,,United States,"Ernest Oros Nature Preserve, Avenel, New Jersey"
Baltimore Oriole,Icterus galbula,/quiz/audio/baltimore-oriole.mp3,/quiz/spectrograms/baltimore-oriole.png,367190,William Whitehead,true,medium,,United States,"New Jersey (near  Linden), Union County, New Jersey"
Scarlet Tanager,Piranga olivacea,/quiz/audio/scarlet-tanager.mp3,/quiz/spectrograms/scarlet-tanager.png,101898,Daniel Lane,,medium,2,United States,"Van Ness Rd, Sussex Co., NJ"
Palm Warbler,Setophaga palmarum,/quiz/audio/palm-warbler.mp3,/quiz/spectrograms/palm-warbler.png,410779,William Whitehead,true,medium,,United States,"Woodbridge Township, Middlesex County, New Jersey"
Baltimore Oriole,Icterus galbula,/quiz/audio/baltimore-oriole.mp3,/quiz/spectrograms/baltimore-oriole.png,1014853,Stanislas Wroza,true,medium,2,Canada,"Marais Léon-Provancher, Portneuf, Québec"
Tufted Titmouse,Baeolophus bicolor,/quiz/audio/tufted-titmouse.mp3,/quiz/spectrograms/tufted-titmouse.png,465256,William Whitehead,true,medium,,United States,"New Jersey (near  Mountainside), Union County, New Jersey"
Palm Warbler,Setophaga palmarum,/quiz/audio/palm-warbler.mp3,/quiz/spectrograms/palm-warbler.png,640356,Christopher McPherson,true,medium,,United States,"Hollis, Hillsborough County, New Hampshire"
Tufted Titmouse,Baeolophus bicolor,/quiz/audio/tufted-titmouse.mp3,/quiz/spectrograms/tufted-titmouse.png,895984,Scott Gravette,true,easy,2,United States,"Blackwell Swamp, WNWR, Madison County, Alabama"
Palm Warbler,Setophaga palmarum,/quiz/audio/palm-warbler.mp3,/quiz/spectrograms/palm-warbler.png,1015036,Stanislas Wroza,true,medium,3,Canada,"Bécancour Regional County Municipality (near  Bécancour), Centre-du-Québec, Quebec"
Mourning Dove,Zenaida macroura,/quiz/audio/mourning-dove.mp3,/quiz/spectrograms/mourning-dove.png,691623,Christopher McPherson,,easy,2,United States,Beaver Brook Great Meadow, Hollis, Hillsborough County, New Hampshire
Hermit Thrush,Catharus guttatus,/quiz/audio/hermit-thrush.mp3,/quiz/spectrograms/hermit-thrush.png,1038297,Bobby Wilcox,,medium,2,United States,Williamsburg, Hampshire County, Massachusetts
Common Grackle,Quiscalus quiscula,/quiz/audio/common-grackle.mp3,/quiz/spectrograms/common-grackle.png,523590,William Whitehead,true,easy,,United States,Ernest Oros Nature Preserve, Avenel, New Jersey
Blue Jay,Cyanocitta cristata,/quiz/audio/blue-jay.mp3,/quiz/spectrograms/blue-jay.png,176358,Jorge de Leon Cardozo,,easy,2,United States,Boston Hollow Road, Ashford, Windham County, Connecticut
Northern Flicker,Colaptes auratus,/quiz/audio/northern-flicker.mp3,/quiz/spectrograms/northern-flicker.png,708962,William Whitehead,,medium,2,United States,Hawk Rise Sanctuary (near  Linden), Union County, New Jersey
Northern Cardinal,Cardinalis cardinalis,/quiz/audio/northern-cardinal.mp3,/quiz/spectrograms/northern-cardinal.png,1093666,Paul Driver,,easy,2,United States,Elkins Park, PA
Chipping Sparrow,Spizella passerina,/quiz/audio/chipping-sparrow.mp3,/quiz/spectrograms/chipping-sparrow.png,574642,William Whitehead,,hard,2,United States,Sandy Hook, Monmouth Co., NJ
Fish Crow,Corvus ossifragus,/quiz/audio/fish-crow.mp3,/quiz/spectrograms/fish-crow.png,177580,Antonio Silveira,,medium,2,United States,Oleta River State Park,Miami, Miami-Dade, Florida, United States
Tufted Titmouse,Baeolophus bicolor,/quiz/audio/tufted-titmouse.mp3,/quiz/spectrograms/tufted-titmouse.png,101646,Daniel Lane,,easy,2,United States,Wildcat Mountain WMA, Morris Co, NJ
House Finch,Haemorhous mexicanus,/quiz/audio/house-finch.mp3,/quiz/spectrograms/house-finch.png,500927,William Whitehead,,medium,2,United States,Hawk Rise Sanctuary (near  Linden), Union County, New Jersey
Eastern Towhee,Pipilo erythrophthalmus,/quiz/audio/eastern-towhee.mp3,/quiz/spectrograms/eastern-towhee.png,504696,William Whitehead,true,easy,,United States,Hawk Rise Sanctuary (near  Linden), Union County, New Jersey
Baltimore Oriole,Icterus galbula,/quiz/audio/baltimore-oriole.mp3,/quiz/spectrograms/baltimore-oriole.png,555447,William Whitehead,,medium,2,United States,New Jersey (near  Mountainside), Union County, New Jersey
Pine Warbler,Setophaga pinus,/quiz/audio/pine-warbler.mp3,/quiz/spectrograms/pine-warbler.png,553224,William Whitehead,,hard,2,United States,New Jersey (near  Matawan), Middlesex County, New Jersey
Eastern Phoebe,Sayornis phoebe,/quiz/audio/eastern-phoebe.mp3,/quiz/spectrograms/eastern-phoebe.png,376069,William Whitehead,,easy,2,United States,New Jersey (near  Linden), Union County, New Jersey
Song Sparrow,Melospiza melodia,/quiz/audio/song-sparrow.mp3,/quiz/spectrograms/song-sparrow.png,708975,John Gruber,,easy,3,United States,Lower Merion Township (near  Wynnewood), Montgomery County, Pennsylvania
Northern Parula,Setophaga americana,/quiz/audio/northern-parula.mp3,/quiz/spectrograms/northern-parula.png,205242,Jennifer Rock,,medium,2,United States,Piseco Rd., Stratford, Fulton County, New York
Red-tailed Hawk,Buteo jamaicensis,/quiz/audio/red-tailed-hawk.mp3,/quiz/spectrograms/red-tailed-hawk.png,1035993,Rory Nefdt,,easy,2,United States,Hart’s Brook Park and Preserve (near  Hartsdale), Westchester County, New York
Palm Warbler,Setophaga palmarum,/quiz/audio/palm-warbler.mp3,/quiz/spectrograms/palm-warbler.png,691646,Christopher McPherson,,hard,2,United States,Cow Path Lane, Hollis, Hillsborough County, New Hampshire
American Herring Gull,Larus smithsonianus,/quiz/audio/american-herring-gull.mp3,/quiz/spectrograms/american-herring-gull.png,144357,Daniel Parker,true,medium,,United States,Bay End Marina, Brooklyn, New York
Common Grackle,Quiscalus quiscula,/quiz/audio/common-grackle.mp3,/quiz/spectrograms/common-grackle.png,786561,Paul Driver,,medium,2,United States,Elkins Park
Eastern Towhee,Pipilo erythrophthalmus,/quiz/audio/eastern-towhee.mp3,/quiz/spectrograms/eastern-towhee.png,546745,William Whitehead,true,easy,,United States,"New Jersey Audubon's Scherman Hoffman Wildlife Sanctuary (near  Bernardsville), Somerset County, New Jersey"
American Herring Gull,Larus smithsonianus,/quiz/audio/american-herring-gull.mp3,/quiz/spectrograms/american-herring-gull.png,497275,Jordi Calvet,,medium,2,United States,Governors Island
Eastern Towhee,Pipilo erythrophthalmus,/quiz/audio/eastern-towhee.mp3,/quiz/spectrograms/eastern-towhee.png,368388,Ted Floyd,,easy,2,United States,"Delaware (near  Middletown), New Castle County, Delaware"
