commonName,scientificName,audioFile,spectrogramFile,xenoCantoId,recordist,rejected,difficulty,quality,country,loc
Hawaiian Goose,Branta sandvicensis,/quiz/audio/hawaiian-goose.mp3,/quiz/spectrograms/hawaiian-goose.png,58930,Frank Lambert,,medium,,United States,"Hakalau NWR, E slope Mauna Kea, Hawai'i (Big Island), HA"
Short-eared Owl,Asio flammeus,/quiz/audio/short-eared-owl.mp3,/quiz/spectrograms/short-eared-owl.png,322371,James Bradley,,medium,,Canada,"Revelstoke, Columbia-Shuswap, British Columbia"
Warbling White-eye,Zosterops japonicus,/quiz/audio/warbling-white-eye.mp3,/quiz/spectrograms/warbling-white-eye.png,175490,Dan Lane,,medium,,United States,"Hakalau NWR, E slope Mauna Kea, Hawai'i (Big Island), HA"
Japanese Bush Warbler,Horornis diphone,/quiz/audio/japanese-bush-warbler.mp3,/quiz/spectrograms/japanese-bush-warbler.png,27362,Daniel Lane,,medium,,United States,"Koke'e area, Kaua'i, Hawaii "
Common Myna,Acridotheres tristis,/quiz/audio/common-myna.mp3,/quiz/spectrograms/common-myna.png,102123,Andrew Spencer,,medium,,United States,"Kendall, Miami-Dade Co., Florida"
Northern Cardinal,Cardinalis cardinalis,/quiz/audio/northern-cardinal.mp3,/quiz/spectrograms/northern-cardinal.png,725506,Bobby Wilcox,,medium,,United States,"Waterman Creek, Yavapai County, Arizona"
Northern Mockingbird,Mimus polyglottos,/quiz/audio/northern-mockingbird.mp3,/quiz/spectrograms/northern-mockingbird.png,696318,Ed Pandolfino,,medium,,United States,"Sacramento, Sacramento County, California"
House Finch,Haemorhous mexicanus,/quiz/audio/house-finch.mp3,/quiz/spectrograms/house-finch.png,328235,Thomas G. Graves,,medium,,United States,"Makawao, Maui County, Hawaii"
Spotted Dove,Spilopelia chinensis,/quiz/audio/spotted-dove.mp3,/quiz/spectrograms/spotted-dove.png,203400,Albert Lastukhin &amp; Alexandr Shirjaev,,medium,,Mauritius,"Curepipe, Plaines Wilhems"
Zebra Dove,Geopelia striata,/quiz/audio/zebra-dove.mp3,/quiz/spectrograms/zebra-dove.png,589483,Simon Elliott,,medium,,Seychelles,"Mahé, Baie Lazare"
Red Junglefowl,Gallus gallus,/quiz/audio/red-junglefowl.mp3,/quiz/spectrograms/red-junglefowl.png,598078,Manuel Grosselet,,medium,,Mexico,"Oaxaca,  San Augustin Etla, terreno de Golf"
Yellow-fronted Canary,Crithagra mozambica,/quiz/audio/yellow-fronted-canary.mp3,/quiz/spectrograms/yellow-fronted-canary.png,267716,Bram Piot,,medium,,Senegal,"Lac Rose, Rufisque"
Saffron Finch,Sicalis flaveola,/quiz/audio/saffron-finch.mp3,/quiz/spectrograms/saffron-finch.png,562697,Kent Livezey,,medium,,Panama,"Costa del Este, near Panama City"
Yellow-billed Cardinal,Paroaria capitata,/quiz/audio/yellow-billed-cardinal.mp3,/quiz/spectrograms/yellow-billed-cardinal.png,116256,Andrew Spencer,,medium,,Brazil,"Fazenda Santa Tereza, Rio Pixaim, Mato Grosso"
Red-crested Cardinal,Paroaria coronata,/quiz/audio/red-crested-cardinal.mp3,/quiz/spectrograms/red-crested-cardinal.png,209514,Ross Gallardy,,medium,,United States,"Ewa Beach, Honolulu County, Hawaii"
Eurasian Skylark,Alauda arvensis,/quiz/audio/eurasian-skylark.mp3,/quiz/spectrograms/eurasian-skylark.png,974882,David Boyle,,medium,,New Zealand,"Taiko Camp, Chatham Island "
Erckel's Spurfowl,Pternistis erckelii,/quiz/audio/erckel-s-spurfowl.mp3,/quiz/spectrograms/erckel-s-spurfowl.png,267205,Andrew Spencer,,medium,,Ethiopia,"Portuguese Bridge, Debre Libanos"
Black Francolin,Francolinus francolinus,/quiz/audio/black-francolin.mp3,/quiz/spectrograms/black-francolin.png,777953,Marcin Sołowiej,,medium,,Cyprus,"Akamas Peninsula NP, Paphos"
Kalij Pheasant,Lophura leucomelanos,/quiz/audio/kalij-pheasant.mp3,/quiz/spectrograms/kalij-pheasant.png,27342,Daniel Lane,,medium,,United States,"Volcano Bird Park, Volcano NP, Hawai'i (Big Island), HA"
Scaly-breasted Munia,Lonchura punctulata,/quiz/audio/scaly-breasted-munia.mp3,/quiz/spectrograms/scaly-breasted-munia.png,862882,Lim Ying Hien,,medium,,Malaysia,"Chui Chak Paddyfields, Perak"
Red-billed Leiothrix,Leiothrix lutea,/quiz/audio/red-billed-leiothrix.mp3,/quiz/spectrograms/red-billed-leiothrix.png,1093147,Diego Rubolini,,medium,,Italy,
Chinese Hwamei,Garrulax canorus,/quiz/audio/chinese-hwamei.mp3,/quiz/spectrograms/chinese-hwamei.png,1080673,JJSUN,,medium,,China,
